Sample_ID	Y haplogroup calls
I5891_published	CT
I5951	CT
mondal_BIR-16.SG	CT
I2328_all	CT
I4232_all	CT
I4241_all	CT
I5374	CT
I5991	CT
I6022	CT
I6091	CT
I6178	CT
I6471	CT
I6596	CT
I6616	CT
I6223_d	CT
I6748	CT
I2802	CT
I6119	CT
I6245	CT
I6312	CT
I6341	CT
I5877	CT
I1293	CT
I4029	CT
I2328	CT
Cioclovina1_d_published	CT
I6932	CT
I6913	CT
I6873	CT
I7031	CT
I1015	CT
I7426	CT
Mari.SG	CT
I7559	CT
Chinchorroi15.SG	CT
I6882_d	CT
I7403_d	CT
BC27.SG	CT
F9.SG	CT
I8792	CT
I8977	CT
I4012_all	CT
I4012	CT
I2966_all	CT
I2966	CT
I1048.SG	CT
I10096	CT
I10267	CT
I10332	CT
I10361	CT
I10618	CT
I10698	CT
I10710	CT
I10994	CT
I11229	CT
I3294	CT
I7773	CT
I7775	CT
I7812	CT
I7839	CT
I7948	CT
I7980	CT
I8038	CT
I8044	CT
I8130	CT
I8157	CT
I8166	CT
I8167	CT
I8381	CT
I8508	CT
I8516	CT
I8554	CT
I8571	CT
I8583	CT
I8738	CT
I8809	CT
I3285	CT
I4210_all	CT
ANI152	CT
I4208	CT
I4210	CT
DA130.SG	CT
I7072	DE
mondal_IL-12.SG	DE
I1694	DE
TAF014	DE
HohlensteinStadel	DE
I3261	DE
S10021.E1.L1	E
S10026.E1.L1	E
S12391.E1.L1	E
I1416	E
HG02461.SG	E
mondal_RAI-8.SG	E
I6160	E
I7009	E
I10166	E
I10841	E
I8087	E
I8092	E
I8802	E
I8808	E
I10885	E1
I8981	E1
LU-01.SG	E1a
SN-60.SG	E1a
dong_M11.SG	E1a
dong_M819.SG	E1a
HG02623.SG	E1a
I1992	E1a
I7892	E1a
HG03096.SG	E1a2a1
NA19189.SG	E1a2a1a1a
NA19239.SG	E1a2a1a1a
HG01094.SG	E1a2a1a2
HG03048.SG	E1a2a1a2
NA18910.SG	E1a2a1b
NA18856.SG	E1a2a1b1
I10334	E1a2a1b1
HG01882.SG	E1a2a1b1a
HG02449.SG	E1a2a1b1a
I8017_d	E1a2a1b1a
HG03024.SG	E1a2a2
HG03027.SG	E1a2a2
HG02810.SG	E1a2b
HG02819.SG	E1a2b1
HG03439.SG	E1a2b1a1
HG03246.SG	E1a2b1a1a1
HG03258.SG	E1a2b1a1a1
HG02570.SG	E1a2b1a2
HG02634.SG	E1a2b1a2
S11570.E1.L1	E1b1a1
HG03057.SG	E1b1a1
HG03436.SG	E1b1a1
I4647	E1b1a1
I4648	E1b1a1
I7427	E1b1a1
I10082	E1b1a1
I10883	E1b1a1
I10919	E1b1a1
I8866	E1b1a1
I8993	E1b1a1
HG02756.SG	E1b1a1a1
HG02804.SG	E1b1a1a1
NA19900.SG	E1b1a1a1
I10742	E1b1a1a1
I10831	E1b1a1a1
I10834	E1b1a1a1
I10843	E1b1a1a1
I8085	E1b1a1a1
HG01187.SG	E1b1a1a1a
