Sample_ID	Component	Value	K
DA251.SG	V4	1.00E-05	5
DA251.SG	V5	1.00E-05	5
DA251.SG	V1	1.00E-05	6
DA251.SG	V2	0.99995	6
DA251.SG	V3	1.00E-05	6
DA251.SG	V4	1.00E-05	6
DA251.SG	V5	1.00E-05	6
DA251.SG	V6	1.00E-05	6
DA251.SG	V1	1.00E-05	7
DA251.SG	V2	1.00E-05	7
DA251.SG	V3	1.00E-05	7
DA251.SG	V4	1.00E-05	7
DA251.SG	V5	0.99994	7
DA251.SG	V6	1.00E-05	7
DA251.SG	V7	1.00E-05	7
DA251.SG	V1	1.00E-05	8
DA251.SG	V2	1.00E-05	8
DA251.SG	V3	1.00E-05	8
DA251.SG	V4	1.00E-05	8
DA251.SG	V5	1.00E-05	8
DA251.SG	V6	1.00E-05	8
DA251.SG	V7	0.99993	8
DA251.SG	V8	1.00E-05	8
DA251.SG	V1	1.00E-05	9
DA251.SG	V2	1.00E-05	9
DA251.SG	V3	1.00E-05	9
DA251.SG	V4	1.00E-05	9
DA251.SG	V5	0.99992	9
DA251.SG	V6	1.00E-05	9
DA251.SG	V7	1.00E-05	9
DA251.SG	V8	1.00E-05	9
DA251.SG	V9	1.00E-05	9
DA252.SG	V1	1	1
DA252.SG	V1	0.084463	2
DA252.SG	V2	0.915537	2
DA252.SG	V1	1.00E-05	3
DA252.SG	V2	0.885562	3
DA252.SG	V3	0.114428	3
DA252.SG	V1	1.00E-05	4
DA252.SG	V2	0.99997	4
DA252.SG	V3	1.00E-05	4
DA252.SG	V4	1.00E-05	4
DA252.SG	V1	1.00E-05	5
DA252.SG	V2	1.00E-05	5
DA252.SG	V3	0.99996	5
DA252.SG	V4	1.00E-05	5
DA252.SG	V5	1.00E-05	5
DA252.SG	V1	1.00E-05	6
DA252.SG	V2	0.99995	6
DA252.SG	V3	1.00E-05	6
DA252.SG	V4	1.00E-05	6
DA252.SG	V5	1.00E-05	6
DA252.SG	V6	1.00E-05	6
DA252.SG	V1	1.00E-05	7
DA252.SG	V2	1.00E-05	7
DA252.SG	V3	1.00E-05	7
DA252.SG	V4	1.00E-05	7
DA252.SG	V5	0.99994	7
DA252.SG	V6	1.00E-05	7
DA252.SG	V7	1.00E-05	7
DA252.SG	V1	1.00E-05	8
DA252.SG	V2	1.00E-05	8
DA252.SG	V3	1.00E-05	8
DA252.SG	V4	1.00E-05	8
DA252.SG	V5	1.00E-05	8
DA252.SG	V6	1.00E-05	8
DA252.SG	V7	0.99993	8
DA252.SG	V8	1.00E-05	8
DA252.SG	V1	1.00E-05	9
DA252.SG	V2	1.00E-05	9
DA252.SG	V3	1.00E-05	9
DA252.SG	V4	1.00E-05	9
DA252.SG	V5	0.99992	9
DA252.SG	V6	1.00E-05	9
DA252.SG	V7	1.00E-05	9
DA252.SG	V8	1.00E-05	9
DA252.SG	V9	1.00E-05	9
DA253.SG	V1	1	1
DA253.SG	V1	0.061526	2
DA253.SG	V2	0.938474	2
DA253.SG	V1	1.00E-05	3
DA253.SG	V2	0.907577	3
DA253.SG	V3	0.092413	3
DA253.SG	V1	1.00E-05	4
DA253.SG	V2	0.99997	4
DA253.SG	V3	1.00E-05	4
DA253.SG	V4	1.00E-05	4
DA253.SG	V1	1.00E-05	5
DA253.SG	V2	1.00E-05	5
DA253.SG	V3	0.99996	5
DA253.SG	V4	1.00E-05	5
DA253.SG	V5	1.00E-05	5
DA253.SG	V1	1.00E-05	6
DA253.SG	V2	0.99995	6
DA253.SG	V3	1.00E-05	6
DA253.SG	V4	1.00E-05	6
DA253.SG	V5	1.00E-05	6
DA253.SG	V6	1.00E-05	6
DA253.SG	V1	1.00E-05	7
DA253.SG	V2	1.00E-05	7
DA253.SG	V3	1.00E-05	7
DA253.SG	V4	1.00E-05	7
DA253.SG	V5	0.99994	7
DA253.SG	V6	1.00E-05	7
DA253.SG	V7	1.00E-05	7
DA253.SG	V1	1.00E-05	8
DA253.SG	V2	1.00E-05	8
DA253.SG	V3	1.00E-05	8
DA253.SG	V4	1.00E-05	8
DA253.SG	V5	1.00E-05	8
DA253.SG	V6	1.00E-05	8
DA253.SG	V7	0.99993	8
DA253.SG	V8	1.00E-05	8
DA253.SG	V1	1.00E-05	9
DA253.SG	V2	1.00E-05	9
DA253.SG	V3	1.00E-05	9
DA253.SG	V4	1.00E-05	9
DA253.SG	V5	0.99992	9
DA253.SG	V6	1.00E-05	9
DA253.SG	V7	1.00E-05	9
DA253.SG	V8	1.00E-05	9
DA253.SG	V9	1.00E-05	9
DA334.SG	V1	1	1
DA334.SG	V1	0.094694	2
DA334.SG	V2	0.905306	2
DA334.SG	V1	1.00E-05	3
DA334.SG	V2	0.886052	3
DA334.SG	V3	0.113938	3
DA334.SG	V1	1.00E-05	4
DA334.SG	V2	0.99997	4
DA334.SG	V3	1.00E-05	4
DA334.SG	V4	1.00E-05	4
DA334.SG	V1	1.00E-05	5
DA334.SG	V2	1.00E-05	5
DA334.SG	V3	0.99996	5
DA334.SG	V4	1.00E-05	5
DA334.SG	V5	1.00E-05	5
DA334.SG	V1	1.00E-05	6
DA334.SG	V2	0.99995	6
DA334.SG	V3	1.00E-05	6
DA334.SG	V4	1.00E-05	6
DA334.SG	V5	1.00E-05	6
DA334.SG	V6	1.00E-05	6
DA334.SG	V1	1.00E-05	7
DA334.SG	V2	1.00E-05	7
DA334.SG	V3	1.00E-05	7
DA334.SG	V4	1.00E-05	7
DA334.SG	V5	0.99994	7
DA334.SG	V6	1.00E-05	7
DA334.SG	V7	1.00E-05	7
DA334.SG	V1	1.00E-05	8
