Sample_ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
CAM-GFF-107	0.0084	-0.1812	-0.2486	-0.1512	-0.2025	0.2963	-0.0441	0.0096	-0.0681	-0.0661
CAM-GFF-111	0.0086	-0.181	-0.2562	-0.144	-0.2056	0.3	-0.0552	0.0104	-0.0724	-0.0719
CAM-GFF-117	0.0015	-0.1241	-0.1838	-0.0883	-0.131	0.1859	-0.0388	0.01	-0.0527	-0.043
CAM-GFF-131	0.0089	-0.183	-0.2521	-0.1561	-0.2035	0.289	-0.0439	0.0202	-0.0818	-0.0697
CAM-GFF-175	0.009	-0.1799	-0.2569	-0.1377	-0.2079	0.2956	-0.0511	0.0041	-0.0732	-0.0643
CAM-GFF-195	0.008	-0.1841	-0.2616	-0.1453	-0.2042	0.2947	-0.0545	0.02	-0.0822	-0.0769
CAM-GUI-013	0.0073	-0.173	-0.2456	-0.1345	-0.1945	0.2808	-0.0393	0.0094	-0.0729	-0.0622
CAM-GUI-040	0.0079	-0.1733	-0.2387	-0.1315	-0.1929	0.2772	-0.0458	0.0121	-0.0782	-0.0703
CAM-GUI-047	0.0065	-0.1633	-0.2304	-0.1182	-0.1799	0.2603	-0.0402	0.0073	-0.0741	-0.0652
CAM-GUI-052	0.0072	-0.1751	-0.2492	-0.1428	-0.1974	0.2843	-0.0283	0.0222	-0.0762	-0.0796
CAM-GUI-062	0.0084	-0.1715	-0.2377	-0.1276	-0.1884	0.2684	-0.0225	0.0198	-0.0782	-0.0698
CAM-GUI-065	0.008	-0.1733	-0.2415	-0.1321	-0.1952	0.2738	-0.0295	0.0201	-0.0823	-0.0571
CAM-GUI-083	0.0082	-0.1762	-0.2451	-0.1287	-0.1924	0.2782	-0.025	0.0104	-0.0767	-0.0656
CAM-GUI-099	0.0074	-0.1755	-0.2478	-0.1329	-0.1942	0.279	-0.0331	0.0168	-0.0717	-0.0658
CAM-GUI-102	0.0082	-0.1809	-0.2501	-0.1455	-0.205	0.2872	-0.0378	0.028	-0.0925	-0.0697
CAM-GUI-105	0.0077	-0.1799	-0.2586	-0.1382	-0.2021	0.2908	-0.0414	0.0177	-0.0789	-0.0735
CAM-GUI-108	0.0088	-0.182	-0.2469	-0.1817	-0.2092	0.2894	-0.0447	0.0229	-0.0697	-0.0703
CAM-GUI-111	0.0082	-0.1715	-0.2387	-0.1328	-0.1906	0.2726	-0.0454	0.0137	-0.0731	-0.0587
CAM-GUI-124	0.008	-0.1738	-0.2443	-0.1482	-0.1994	0.2807	-0.0409	0.0143	-0.0576	-0.0633
CAM-GUI-129	0.0083	-0.1793	-0.2461	-0.1546	-0.2034	0.2918	-0.0354	0.0167	-0.0811	-0.0609
CAM-GUI-134	0.0089	-0.1797	-0.2568	-0.1349	-0.2024	0.2915	-0.0232	0.0135	-0.0808	-0.0712
CAM-GUI-138	0.0089	-0.1821	-0.2517	-0.1419	-0.1998	0.2969	-0.0555	0.0099	-0.0769	-0.0714
CAM-GUI-150	0.0079	-0.1827	-0.2549	-0.142	-0.2007	0.2895	-0.0589	0.0118	-0.0735	-0.0738
CAM-GUI-151	0.0083	-0.1815	-0.254	-0.1354	-0.2008	0.2868	-0.0406	0.0169	-0.0825	-0.0665
CAM-GUI-157	0.0088	-0.1824	-0.2591	-0.1426	-0.1998	0.2946	-0.0458	0.0253	-0.0945	-0.0857
CAM-GUI-160	0.008	-0.1813	-0.2526	-0.1304	-0.2057	0.2962	-0.06	0.0052	-0.0694	-0.0681
CAM-GUI-164	0.0085	-0.1802	-0.2525	-0.141	-0.2062	0.288	-0.0456	0.0145	-0.0734	-0.071
CAM-GUI-171	0.0082	-0.1833	-0.2591	-0.1341	-0.1996	0.2902	-0.0538	0.0119	-0.0834	-0.0757
CAM-GUI-173	0.0085	-0.1848	-0.2646	-0.1546	-0.2143	0.3007	-0.0524	0.0169	-0.0846	-0.077
CAM-GUI-176	0.0078	-0.1805	-0.2528	-0.1385	-0.1972	0.284	-0.0327	0.017	-0.0818	-0.0695
CAM-MBO-026	0.0081	-0.1828	-0.2572	-0.1404	-0.207	0.3	-0.0583	0.0171	-0.0872	-0.0793
CAM-MBO-041	0.0088	-0.1803	-0.2576	-0.1428	-0.2017	0.2922	-0.0497	0.0133	-0.084	-0.0749
CAM-MBO-043	0.0085	-0.181	-0.2535	-0.1348	-0.2002	0.2873	-0.0503	0.0102	-0.0761	-0.0722
CAM-MBO-063	0.0081	-0.1845	-0.2591	-0.145	-0.2111	0.2996	-0.0641	0.0185	-0.0867	-0.0786
CAM-MBO-084	0.0086	-0.1842	-0.2594	-0.1347	-0.2069	0.301	-0.0429	0.0128	-0.0856	-0.0765
CAM-MBO-090	0.0087	-0.1811	-0.255	-0.1413	-0.2045	0.2914	-0.0681	0.02	-0.0798	-0.0834
CAM-MBO-114	0.0085	-0.1809	-0.2513	-0.1479	-0.2008	0.2866	-0.0609	0.0137	-0.0723	-0.0751
CAM-MBO-116	0.0074	-0.1865	-0.2611	-0.1407	-0.2078	0.3003	-0.0448	0.0147	-0.08	-0.0762
CAM-MBO-121	0.0087	-0.1809	-0.2555	-0.1407	-0.2029	0.2937	-0.0428	0.0223	-0.0841	-0.0719
CAM-MBO-133	0.0091	-0.1817	-0.2566	-0.1429	-0.2004	0.297	-0.0422	0.0149	-0.083	-0.0707
CAM-MBO-135	0.0091	-0.1831	-0.2537	-0.147	-0.2025	0.2947	-0.0441	0.0142	-0.0781	-0.0674
CAM-MBO-137	0.0079	-0.1807	-0.2544	-0.1393	-0.2018	0.2918	-0.0497	0.0148	-0.0755	-0.0741
CAM-MBO-149	0.0077	-0.1843	-0.262	-0.1412	-0.2059	0.3038	-0.0481	0.0086	-0.068	-0.0656
CAM-MBO-170	0.0079	-0.1814	-0.2569	-0.1444	-0.2057	0.2937	-0.0384	0.0158	-0.0737	-0.0668
CAM-POL-014	0.0076	-0.1761	-0.2465	-0.1408	-0.1985	0.2821	-0.0327	0.0138	-0.0676	-0.0568
CAM-POL-015	0.0091	-0.1802	-0.2533	-0.1427	-0.2039	0.2973	-0.0397	0.0141	-0.0778	-0.0755
CAM-POL-036	0.0083	-0.1827	-0.2607	-0.1431	-0.2083	0.3016	-0.0623	0.0124	-0.0769	-0.0762
CAM-POL-059	0.0085	-0.1731	-0.2409	-0.1317	-0.1947	0.2789	-0.0385	0.0072	-0.0701	-0.0584
CAM-POL-060	0.0078	-0.1664	-0.2345	-0.1215	-0.1841	0.2601	-0.0396	0.0079	-0.0709	-0.0573
CAM-POL-078	0.0079	-0.1842	-0.2549	-0.1656	-0.2098	0.2874	-0.0549	0.034	-0.0912	-0.0758
CAM-POL-081	0.0084	-0.1813	-0.2533	-0.1387	-0.2007	0.2875	-0.0292	0.0182	-0.0797	-0.07
CAM-POL-106	0.0082	-0.1767	-0.2418	-0.1409	-0.1939	0.2838	-0.0428	0.0179	-0.0775	-0.0689
CAM-POL-111	0.0084	-0.1729	-0.2415	-0.1266	-0.1974	0.2786	-0.0398	0.012	-0.0758	-0.0614
CAM-POL-146	0.0082	-0.1831	-0.2602	-0.135	-0.2059	0.2968	-0.0466	0.0088	-0.09	-0.0694
